alsa-utils 1.2.4-2
autoconf 2.69-7
automake 1.16.2-3
base 2-2.3
binutils 2.35.1-1
bison 3.7.2-1
connman-openrc 20200709-1
cwm 6.7-1
dmenu 5.0-1
dunst 1.5.0-1
efibootmgr 17-2
esysusers 246.6-1
fakeroot 1.25.3-1
file 5.39-1
findutils 4.7.0-2
firefox 82.0.2-1
flex 2.6.4-3
gawk 5.1.0-1
gcc 10.2.0-3
gettext 0.21-1
git 2.29.2-1
grep 3.5-1
groff 1.22.4-3
grub 2:2.04-8
gtk2 2.24.32-2
gzip 1.10-3
hsetroot 1.0.5-1
htop 3.0.2-1
intel-ucode 20200616-1
libnotify 0.7.9-1
libtool 2.4.6+42+gb88cebd5-14
libxft 2.3.3-2
linux 5.9.6.artix1-1
linux-firmware 20201023.dae4b4c-1
m4 1.4.18-3
make 4.3-3
man-db 2.9.3-1
mpc 0.33-3
mpd-openrc 20200716-1
mpv 1:0.32.0-4
ncmpcpp 0.8.2-12
nodm 0.13-3
openrc 0.42.1-17
openssh 8.4p1-2
openssh-openrc 20200620-1
os-prober 1.77-2
pacman 5.2.2-1
patch 2.7.6-9
picom 8.2-1
pkgconf 1.7.3-1
rofi 1.6.0-1
scrot 1.4-1
sed 4.8-1
slock 1.4-4
stow 2.3.1-3
sudo 1.9.3.p1-1
sxhkd 0.6.2-1
sxiv 26-1
terminus-font 4.48-3
texinfo 6.7-3
tmux 3.1_c-1
ttf-roboto 2.138-4
ttf-roboto-mono 3.000-1
usbutils 012-2
vi 1:070224-4
vifm 0.11-1
vim 8.2.1704-1
webkit2gtk 2.30.2-1
which 2.21-5
xclip 0.13-3
xcompmgr 1.1.8-2
xdotool 3.20160805.1-3
xf86-input-evdev 2.10.6-2
xf86-video-intel 1:2.99.917+908+g7181c5a4-1
xfsprogs 5.8.0-1
xorg-server 1.20.9-2
xorg-xbacklight 1.2.3-2
xorg-xev 1.2.4-1
xorg-xfd 1.1.3-2
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xrandr 1.5.1-2
xorg-xwininfo 1.1.5-2
youtube-dl 2020.11.01.1-1
